Marker.Name,Alternate1,Alternate2,Alternate3,Alternate4,Alternate5,Alternate6,Alternate7,Alternate8,Alternate9,Alternate10
Eomes,Eomes,,,,,,,,,
EOS,EOS,,,,,,,,,
EpCAM,EpCAM,CD326,EpCAM (CD326),,,,,,,
F480,F4/80,F4-80,F4_80,F480,,,,,,
FasL,FasL,CD178,FasL (CD178),,,,,,,
FceRIa,FcERIa,FcER1,FceR1a,FceRIa,FceRIalpha,FceR1,FceRI,FceR1alpha,FcER1alpha,FcER1a
FOLR2,FOLR2,FolR2,Folr2,,,,,,,
Foxp3,Foxp3,Fox-p3,FoxP3,,,,,,,
GARP,GARP,LRRC32,Garp,,,,,,,
GATA3,Gata3,GATA-3,Gata3,,,,,,,
GFAP,GFAP,GFAP,Gfap,,,,,,,
GFP,GFP,Green Fluorescent Protein,Gfp,,,,,,,
GITR,GITR,GITR,Gitr,,,,,,,
GL7,GL7,,,,,,,,,
GMCSF,GMCSF,GM_CSF,Gmcsf,,,,,,,
Gr1,Gr1,Gr-1,GR_1,GR.1,,,,,,
GranzymeB,GranzymeB,Granzyme-B,Granzymeb,Granzyme_B,,,,,,
Helios,Helios,Ikzf2,IKZF2,,,,,,,
ICOS,ICOS,ICOS (CD278),Icos,CD278,,,,,,
IFNg,IFNg,Interferon gamma,Ifng,Interferon,IFN-g,Interferon-g,Interferon-gamma,,,
IgD,IgD,Igd,,,,,,,,
IgE,IgE,Ige,,,,,,,,
IgG,IgG,Igg,,,,,,,,
IgG1,IgG1,Igg1,,,,,,,,
IgG2a,IgG2,Igg2,,,,,,,,
IgG2b,IgG3,Igg3,,,,,,,,
IgG3,IgG4,Igg4,,,,,,,,
IgM,IgM,Igm,,,,,,,,
IL10,IL10,IL_10,Il10,,,,,,,
IL12p35,IL12p35,IL-12p35,Il12P35,,,,,,,
IL12p40,IL12p40,IL-12p40,Il12P40,,,,,,,
IL13,IL13,IL_13,Il13,,,,,,,
IL15,IL15,IL_15,Il15,,,,,,,
IL17,IL17,IL_17,Il17,,,,,,,
IL17F,IL17F,IL.17F,Il17F,,,,,,,
IL17RB,IL17RB,IL17RB,Il17Rb,,,,,,,
IL1a,IL1a,IL-1 alpha,Il1A,IL-1.alpha,,,,,,
IL1b,IL1b,pro-IL-1-beta,Il1B,,,,,,,
IL2,IL2,IL.2,Il2,,,,,,,
IL21,IL21,IL-21,Il21,,,,,,,
IL22,IL22,IL-22,Il22,,,,,,,
IL23,IL23,IL-23p19,Il23,IL_23p19,,,,,,
IL27,IL27,IL-27,Il27,IL.27,,,,,,
IL33,IL33,IL-33,Il33,,,,,,,
IL35,IL35,IL-35,Il35,EBI3,IL.35,,,,,
